Iteration	CPUTime	PhysTime	Travels
1	2	0	0.025
2	3	0	0.05
3	3	0	0.075
4	3	0	0.1
5	3	0	0.125
6	4	0	0.15
7	4	0	0.175
8	4	0	0.2
9	4	0	0.225
10	5	0	0.25
11	5	0	0.275
12	5	0	0.3
13	5	0	0.325
14	6	0	0.35
15	6	0	0.375
16	6	0	0.4
17	6	0	0.425
18	7	0	0.45
19	7	0	0.475
20	7	0	0.5
21	7	0	0.525
22	8	0	0.55
23	8	0	0.575
24	8	0	0.6
25	8	0	0.625
26	9	0	0.65
27	9	0	0.675
28	9	0	0.7
29	9	0	0.725
30	10	0	0.75
31	10	0	0.775
32	10	0	0.8
33	10	0	0.825
34	11	0	0.85
35	11	0	0.875
36	11	0	0.9
37	12	0	0.925
38	12	0	0.95
39	12	0	0.975
40	12	0	1
41	13	0	1.025
42	13	0	1.05
43	13	0	1.075
44	13	0	1.1
45	14	0	1.125
46	14	0	1.15
47	14	0	1.175
48	14	0	1.2
49	15	0	1.225
50	15	0	1.25
51	15	0	1.275
52	15	0	1.3
53	16	0	1.325
54	16	0	1.35
55	16	0	1.375
56	16	0	1.4
57	16	0	1.425
58	16	0	1.45
59	17	0	1.475
60	17	0	1.5
61	17	0	1.525
62	17	0	1.55
63	17	0	1.575
64	17	0	1.6
65	17	0	1.625
66	18	0	1.65
67	18	0	1.675
68	18	0	1.7
69	18	0	1.725
70	19	0	1.75
71	19	0	1.775
72	19	0	1.8
73	19	0	1.825
74	19	0	1.85
75	19	0	1.875
76	20	0	1.9
77	20	0	1.925
78	20	0	1.95
79	20	0	1.975
80	20	0	2
81	20	0	2.025
82	20	0	2.05
83	21	0	2.075
84	21	0	2.1
85	21	0	2.125
86	21	0	2.15
87	21	0	2.175
88	21	0	2.2
