Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	309.749953	309.749953	309.749953	309.749953	0	0	0	0	0	0	3
2	3	0	0.05	309.749987	309.74997	309.749953	309.749987	1.73792604e-05	0	0	0	0	0	3
3	3	0	0.075	309.749989	309.749976	309.749953	309.749989	2.35562759e-05	0	0	0	0	0	3
4	3	0	0.1	309.749989	309.749979	309.749953	309.749989	2.66615211e-05	0	0	0	0	0	3
5	3	0	0.125	309.749989	309.749981	309.749953	309.749989	2.85328339e-05	0	0	0	0	0	3
6	4	0	0.15	309.749989	309.749983	309.749953	309.749989	2.9835185e-05	0	0	0	0	0	3
7	4	0	0.175	309.749989	309.749983	309.749953	309.749989	3.07868252e-05	0	0	0	0	0	3
8	4	0	0.2	309.749989	309.749984	309.749953	309.749989	3.15192829e-05	0	0	0	0	0	3
9	5	0	0.225	309.749989	309.749985	309.749953	309.749989	3.20889094e-05	0	0	0	0	0	3
10	5	0	0.25	309.749989	309.749985	309.749953	309.749989	3.25604234e-05	0	0	0	0	0	3
11	5	0	0.275	309.74999	309.749986	309.749953	309.74999	3.297543e-05	0	0	0	0	0	3
12	6	0	0.3	309.74999	309.749986	309.749953	309.74999	3.3355983e-05	0	0	0	0	0	3
13	6	0	0.325	309.749991	309.749986	309.749953	309.749991	3.37133988e-05	0	0	0	0	0	3
14	6	0	0.35	309.749992	309.749987	309.749953	309.749992	3.40840448e-05	0	0	0	0	0	3
15	6	0	0.375	309.749992	309.749987	309.749953	309.749992	3.44511885e-05	0	0	0	0	0	3
16	7	0	0.4	309.749994	309.749988	309.749953	309.749994	3.48693982e-05	0	0	0	0	0	3
17	7	0	0.425	309.749995	309.749988	309.749953	309.749995	3.53324581e-05	0	0	0	0	0	3
18	7	0	0.45	309.749997	309.749989	309.749953	309.749997	3.583777e-05	0	0	0	0	0	3
19	7	0	0.475	309.749999	309.749989	309.749953	309.749999	3.63837536e-05	0	0	0	0	0	3
20	8	0	0.5	309.750001	309.74999	309.749953	309.750001	3.69788876e-05	0	0	0	0	0	3
21	9	0	0.525	309.750004	309.749992	309.749987	309.750004	1.67363689e-05	0	0	0	0	0	3
22	9	0	0.55	309.750008	309.749993	309.749989	309.750008	1.70006008e-05	0	0	0	0	0	3
23	9	0	0.575	309.750011	309.749994	309.749989	309.750011	1.50265055e-05	0	0	0	0	0	3
24	9	0	0.6	309.750015	309.749996	309.749989	309.750015	1.44672338e-05	0	0	0	0	0	3
25	10	0	0.625	309.750018	309.749997	309.749989	309.750018	1.46531404e-05	0	0	0	0	0	3
26	10	0	0.65	309.750024	309.749999	309.749989	309.750024	1.5471306e-05	0	0	0	0	0	3
27	10	0	0.675	309.75003	309.750001	309.749989	309.75003	1.67958821e-05	0	0	0	0	0	3
28	10	0	0.7	309.750036	309.750003	309.749989	309.750036	1.85625596e-05	0	0	0	0	0	3
29	11	0	0.725	309.750042	309.750006	309.749989	309.750042	2.07260426e-05	0	0	0	0	0	3
30	11	0	0.75	309.750048	309.750009	309.74999	309.750048	2.32286621e-05	0	0	0	0	0	3
31	11	0	0.775	309.750056	309.750012	309.74999	309.750056	2.61620422e-05	0	0	0	0	0	3
32	12	0	0.8	309.750064	309.750016	309.749991	309.750064	2.95120012e-05	0	0	0	0	0	3
33	12	0	0.825	309.750072	309.75002	309.749992	309.750072	3.32059018e-05	0	0	0	0	0	3
34	12	0	0.85	309.750079	309.750024	309.749992	309.750079	3.72173357e-05	0	0	0	0	0	3
35	12	0	0.875	309.750086	309.750029	309.749994	309.750086	4.14949567e-05	0	0	0	0	0	3
36	13	0	0.9	309.750096	309.750034	309.749995	309.750096	4.61278065e-05	0	0	0	0	0	3
37	13	0	0.925	309.750104	309.75004	309.749997	309.750104	5.10649343e-05	0	0	0	0	0	3
38	13	0	0.95	309.750112	309.750045	309.749999	309.750112	5.62856201e-05	0	0	0	0	0	3
39	13	0	0.975	309.75012	309.750051	309.750001	309.75012	6.17382057e-05	0	0	0	0	0	3
40	14	0	1	309.750127	309.750058	309.750004	309.750127	6.5445413e-05	8.64692616e-06	0	0	0	0	3
