Iteration	CPUTime	PhysTime	Travels
1	2	0	0.025
2	3	0	0.05
3	3	0	0.075
4	3	0	0.1
5	4	0	0.125
6	4	0	0.15
7	4	0	0.175
8	4	0	0.2
9	5	0	0.225
10	5	0	0.25
11	6	0	0.275
12	6	0	0.3
13	6	0	0.325
14	7	0	0.35
15	7	0	0.375
16	7	0	0.4
17	8	0	0.425
18	8	0	0.45
19	8	0	0.475
20	9	0	0.5
21	9	0	0.525
22	9	0	0.55
23	9	0	0.575
24	10	0	0.6
25	10	0	0.625
26	10	0	0.65
27	11	0	0.675
28	11	0	0.7
29	11	0	0.725
30	11	0	0.75
31	11	0	0.775
32	12	0	0.8
33	12	0	0.825
34	12	0	0.85
35	12	0	0.875
36	13	0	0.9
37	13	0	0.925
38	13	0	0.95
39	14	0	0.975
40	14	0	1
41	14	0	1.025
42	14	0	1.05
43	14	0	1.075
44	15	0	1.1
45	15	0	1.125
46	15	0	1.15
47	16	0	1.175
48	16	0	1.2
49	16	0	1.225
50	16	0	1.25
51	16	0	1.275
52	17	0	1.3
53	17	0	1.325
54	17	0	1.35
55	17	0	1.375
56	17	0	1.4
57	17	0	1.425
58	18	0	1.45
59	18	0	1.475
60	18	0	1.5
61	18	0	1.525
62	18	0	1.55
63	18	0	1.575
64	19	0	1.6
65	19	0	1.625
66	19	0	1.65
67	19	0	1.675
68	19	0	1.7
69	19	0	1.725
70	20	0	1.75
71	20	0	1.775
72	20	0	1.8
73	20	0	1.825
74	20	0	1.85
75	20	0	1.875
76	21	0	1.9
77	21	0	1.925
78	21	0	1.95
79	21	0	1.975
80	21	0	2
81	22	0	2.025
82	22	0	2.05
83	22	0	2.075
84	22	0	2.1
85	22	0	2.125
86	23	0	2.15
87	23	0	2.175
88	23	0	2.2
89	23	0	2.225
90	23	0	2.25
91	23	0	2.275
92	24	0	2.3
93	24	0	2.325
94	24	0	2.35
95	25	0	2.375
96	25	0	2.4
97	25	0	2.425
98	25	0	2.45
99	25	0	2.475
100	25	0	2.5
101	26	0	2.525
102	26	0	2.55
103	26	0	2.575
104	26	0	2.6
105	27	0	2.625
106	27	0	2.65
107	27	0	2.675
108	27	0	2.7
109	27	0	2.725
110	27	0	2.75
111	28	0	2.775
112	28	0	2.8
113	28	0	2.825
114	28	0	2.85
115	28	0	2.875
116	28	0	2.9
117	29	0	2.925
118	29	0	2.95
119	29	0	2.975
120	29	0	3
121	29	0	3.025
122	29	0	3.05
123	29	0	3.075
124	30	0	3.1
125	30	0	3.125
126	30	0	3.15
127	30	0	3.175
