Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	309.74998	309.74998	309.74998	309.74998	0	0	0	0	0	0	3
2	2	0	0.05	309.749995	309.749987	309.74998	309.749995	7.05944211e-06	0	0	0	0	0	3
3	2	0	0.075	309.749995	309.74999	309.74998	309.749995	9.55636608e-06	0	0	0	0	0	3
4	3	0	0.1	309.749995	309.749991	309.74998	309.749995	1.0811599e-05	0	0	0	0	0	3
5	3	0	0.125	309.749995	309.749992	309.74998	309.749995	1.15739543e-05	0	0	0	0	0	3
6	3	0	0.15	309.749995	309.749993	309.74998	309.749995	1.21037734e-05	0	0	0	0	0	3
7	3	0	0.175	309.749995	309.749993	309.74998	309.749995	1.24837823e-05	0	0	0	0	0	3
8	4	0	0.2	309.749995	309.749993	309.74998	309.749995	1.27776231e-05	0	0	0	0	0	3
9	4	0	0.225	309.749995	309.749993	309.74998	309.749995	1.30115228e-05	0	0	0	0	0	3
10	4	0	0.25	309.749995	309.749994	309.74998	309.749995	1.32003324e-05	0	0	0	0	0	3
11	4	0	0.275	309.749995	309.749994	309.74998	309.749995	1.33690146e-05	0	0	0	0	0	3
12	5	0	0.3	309.749996	309.749994	309.74998	309.749996	1.35207511e-05	0	0	0	0	0	3
13	5	0	0.325	309.749996	309.749994	309.74998	309.749996	1.36639218e-05	0	0	0	0	0	3
14	5	0	0.35	309.749996	309.749994	309.74998	309.749996	1.38104212e-05	0	0	0	0	0	3
15	5	0	0.375	309.749996	309.749994	309.74998	309.749996	1.395739e-05	0	0	0	0	0	3
16	6	0	0.4	309.749997	309.749995	309.74998	309.749997	1.41199102e-05	0	0	0	0	0	3
17	6	0	0.425	309.749998	309.749995	309.74998	309.749998	1.43035231e-05	0	0	0	0	0	3
18	6	0	0.45	309.749998	309.749995	309.74998	309.749998	1.45027265e-05	0	0	0	0	0	3
19	6	0	0.475	309.749999	309.749995	309.74998	309.749999	1.47162837e-05	0	0	0	0	0	3
20	7	0	0.5	309.75	309.749995	309.74998	309.75	1.49493583e-05	0	0	0	0	0	3
21	7	0	0.525	309.750001	309.749996	309.749995	309.750001	6.55181771e-06	0	0	0	0	0	3
22	7	0	0.55	309.750002	309.749997	309.749995	309.750002	6.8200959e-06	0	0	0	0	0	3
23	7	0	0.575	309.750004	309.749997	309.749995	309.750004	6.01001307e-06	0	0	0	0	0	3
24	8	0	0.6	309.750005	309.749998	309.749995	309.750005	5.76494165e-06	0	0	0	0	0	3
25	8	0	0.625	309.750007	309.749998	309.749995	309.750007	5.82206644e-06	0	0	0	0	0	3
26	8	0	0.65	309.750009	309.749999	309.749995	309.750009	6.14380565e-06	0	0	0	0	0	3
27	8	0	0.675	309.750012	309.75	309.749995	309.750012	6.674026e-06	0	0	0	0	0	3
28	9	0	0.7	309.750014	309.750001	309.749995	309.750014	7.37856709e-06	0	0	0	0	0	3
29	9	0	0.725	309.750016	309.750002	309.749995	309.750016	8.24864895e-06	0	0	0	0	0	3
30	9	0	0.75	309.750019	309.750003	309.749995	309.750019	9.25947671e-06	0	0	0	0	0	3
31	10	0	0.775	309.750022	309.750004	309.749996	309.750022	1.04562117e-05	0	0	0	0	0	3
32	10	0	0.8	309.750026	309.750006	309.749996	309.750026	1.18257644e-05	0	0	0	0	0	3
33	10	0	0.825	309.750029	309.750008	309.749996	309.750029	1.33430976e-05	0	0	0	0	0	3
34	10	0	0.85	309.750032	309.750009	309.749996	309.750032	1.49961703e-05	0	0	0	0	0	3
35	11	0	0.875	309.750035	309.750011	309.749997	309.750035	1.67679102e-05	0	0	0	0	0	3
36	11	0	0.9	309.750039	309.750013	309.749998	309.750039	1.86958629e-05	0	0	0	0	0	3
37	11	0	0.925	309.750043	309.750016	309.749998	309.750043	2.07596669e-05	0	0	0	0	0	3
38	11	0	0.95	309.750046	309.750018	309.749999	309.750046	2.29500982e-05	0	0	0	0	0	3
39	12	0	0.975	309.750049	309.750021	309.75	309.750049	2.52429967e-05	0	0	0	0	0	3
40	12	0	1	309.750052	309.750023	309.750001	309.750052	2.68448106e-05	3.60465418e-06	0	0	0	0	3
