Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0	0	0	0	0	0	0	0	0	0	3
2	2	0	0.05	0	0	0	0	0	0	0	0	0	0	3
3	2	0	0.075	0	0	0	0	0	0	0	0	0	0	3
4	2	0	0.1	0	0	0	0	0	0	0	0	0	0	3
5	2	0	0.125	0	0	0	0	0	0	0	0	0	0	3
6	2	0	0.15	0	0	0	0	0	0	0	0	0	0	3
7	3	0	0.175	0	0	0	0	0	0	0	0	0	0	3
8	3	0	0.2	0	0	0	0	0	0	0	0	0	0	3
9	3	0	0.225	0	0	0	0	0	0	0	0	0	0	3
10	3	0	0.25	0	0	0	0	0	0	0	0	0	0	3
11	3	0	0.275	0	0	0	0	0	0	0	0	0	0	3
12	4	0	0.3	0	0	0	0	0	0	0	0	0	0	3
13	4	0	0.325	0	0	0	0	0	0	0	0	0	0	3
14	4	0	0.35	0	0	0	0	0	0	0	0	0	0	3
15	4	0	0.375	0	0	0	0	0	0	0	0	0	0	3
16	5	0	0.4	0	0	0	0	0	0	0	0	0	0	3
17	5	0	0.425	0	0	0	0	0	0	0	0	0	0	3
18	5	0	0.45	0	0	0	0	0	0	0	0	0	0	3
19	5	0	0.475	0	0	0	0	0	0	0	0	0	0	3
20	6	0	0.5	0	0	0	0	0	0	0	0	0	0	3
21	6	0	0.525	0	0	0	0	0	0	0	0	0	0	3
22	6	0	0.55	0	0	0	0	0	0	0	0	0	0	3
23	6	0	0.575	0	0	0	0	0	0	0	0	0	0	3
24	6	0	0.6	0	0	0	0	0	0	0	0	0	0	3
25	7	0	0.625	0	0	0	0	0	0	0	0	0	0	3
26	7	0	0.65	0	0	0	0	0	0	0	0	0	0	3
27	7	0	0.675	0	0	0	0	0	0	0	0	0	0	3
28	7	0	0.7	0	0	0	0	0	0	0	0	0	0	3
29	7	0	0.725	0	0	0	0	0	0	0	0	0	0	3
30	8	0	0.75	0	0	0	0	0	0	0	0	0	0	3
31	8	0	0.775	0	0	0	0	0	0	0	0	0	0	3
32	8	0	0.8	0	0	0	0	0	0	0	0	0	0	3
33	8	0	0.825	0	0	0	0	0	0	0	0	0	0	3
34	9	0	0.85	0	0	0	0	0	0	0	0	0	0	3
35	9	0	0.875	0	0	0	0	0	0	0	0	0	0	3
36	9	0	0.9	0	0	0	0	0	0	0	0	0	0	3
37	9	0	0.925	0	0	0	0	0	0	0	0	0	0	3
38	9	0	0.95	0	0	0	0	0	0	0	0	0	0	3
39	10	0	0.975	0	0	0	0	0	0	0	0	0	0	3
40	10	0	1	0	0	0	0	0	5e-06	0	0	0	0	3
41	10	0	1.025	0	0	0	0	0	5e-06	0	0	0	0	3
42	10	0	1.05	0	0	0	0	0	5e-06	0	0	0	0	3
43	11	0	1.075	0	0	0	0	0	5e-06	0	0	0	0	3
44	11	0	1.1	0	0	0	0	0	5e-06	0	0	0	0	3
45	11	0	1.125	0	0	0	0	0	5e-06	0	0	0	0	3
46	11	0	1.15	0	0	0	0	0	5e-06	0	0	0	0	3
47	11	0	1.175	0	0	0	0	0	5e-06	0	0	0	0	3
48	12	0	1.2	0	0	0	0	0	5e-06	0	0	0	0	3
49	12	0	1.225	0	0	0	0	0	5e-06	0	0	0	0	3
