Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	0	0	0	0	0	0	0	0	0	0	3
2	3	0	0.05	0	0	0	0	0	0	0	0	0	0	3
3	3	0	0.075	0	0	0	0	0	0	0	0	0	0	3
4	3	0	0.1	0	0	0	0	0	0	0	0	0	0	3
5	4	0	0.125	0	0	0	0	0	0	0	0	0	0	3
6	4	0	0.15	0	0	0	0	0	0	0	0	0	0	3
7	4	0	0.175	0	0	0	0	0	0	0	0	0	0	3
8	4	0	0.2	0	0	0	0	0	0	0	0	0	0	3
9	5	0	0.225	0	0	0	0	0	0	0	0	0	0	3
10	5	0	0.25	0	0	0	0	0	0	0	0	0	0	3
11	5	0	0.275	0	0	0	0	0	0	0	0	0	0	3
12	5	0	0.3	0	0	0	0	0	0	0	0	0	0	3
13	6	0	0.325	0	0	0	0	0	0	0	0	0	0	3
14	6	0	0.35	0	0	0	0	0	0	0	0	0	0	3
15	6	0	0.375	0	0	0	0	0	0	0	0	0	0	3
16	6	0	0.4	0	0	0	0	0	0	0	0	0	0	3
17	7	0	0.425	0	0	0	0	0	0	0	0	0	0	3
18	7	0	0.45	0	0	0	0	0	0	0	0	0	0	3
19	7	0	0.475	0	0	0	0	0	0	0	0	0	0	3
20	7	0	0.5	0	0	0	0	0	0	0	0	0	0	3
21	8	0	0.525	0	0	0	0	0	0	0	0	0	0	3
22	8	0	0.55	0	0	0	0	0	0	0	0	0	0	3
23	8	0	0.575	0	0	0	0	0	0	0	0	0	0	3
24	8	0	0.6	0	0	0	0	0	0	0	0	0	0	3
25	9	0	0.625	0	0	0	0	0	0	0	0	0	0	3
26	9	0	0.65	0	0	0	0	0	0	0	0	0	0	3
27	9	0	0.675	0	0	0	0	0	0	0	0	0	0	3
28	9	0	0.7	0	0	0	0	0	0	0	0	0	0	3
29	10	0	0.725	0	0	0	0	0	0	0	0	0	0	3
30	10	0	0.75	0	0	0	0	0	0	0	0	0	0	3
31	10	0	0.775	0	0	0	0	0	0	0	0	0	0	3
32	10	0	0.8	0	0	0	0	0	0	0	0	0	0	3
33	11	0	0.825	0	0	0	0	0	0	0	0	0	0	3
34	11	0	0.85	0	0	0	0	0	0	0	0	0	0	3
35	11	0	0.875	0	0	0	0	0	0	0	0	0	0	3
36	11	0	0.9	0	0	0	0	0	0	0	0	0	0	3
37	11	0	0.925	0	0	0	0	0	0	0	0	0	0	3
38	12	0	0.95	0	0	0	0	0	0	0	0	0	0	3
39	12	0	0.975	0	0	0	0	0	0	0	0	0	0	3
40	12	0	1	0	0	0	0	0	5e-06	0	0	0	0	3
41	13	0	1.025	0	0	0	0	0	5e-06	0	0	0	0	3
42	13	0	1.05	0	0	0	0	0	5e-06	0	0	0	0	3
43	13	0	1.075	0	0	0	0	0	5e-06	0	0	0	0	3
44	13	0	1.1	0	0	0	0	0	5e-06	0	0	0	0	3
45	13	0	1.125	0	0	0	0	0	5e-06	0	0	0	0	3
46	14	0	1.15	0	0	0	0	0	5e-06	0	0	0	0	3
47	14	0	1.175	0	0	0	0	0	5e-06	0	0	0	0	3
48	14	0	1.2	0	0	0	0	0	5e-06	0	0	0	0	3
49	14	0	1.225	0	0	0	0	0	5e-06	0	0	0	0	3
50	14	0	1.25	0	0	0	0	0	5e-06	0	0	0	0	3
51	14	0	1.275	0	0	0	0	0	5e-06	0	0	0	0	3
52	15	0	1.3	0	0	0	0	0	5e-06	0	0	0	0	3
53	15	0	1.325	0	0	0	0	0	5e-06	0	0	0	0	3
54	15	0	1.35	0	0	0	0	0	5e-06	0	0	0	0	3
55	15	0	1.375	0	0	0	0	0	5e-06	0	0	0	0	3
56	15	0	1.4	0	0	0	0	0	5e-06	0	0	0	0	3
57	15	0	1.425	0	0	0	0	0	5e-06	0	0	0	0	3
58	15	0	1.45	0	0	0	0	0	5e-06	0	0	0	0	3
59	16	0	1.475	0	0	0	0	0	5e-06	0	0	0	0	3
60	16	0	1.5	0	0	0	0	0	5e-06	0	0	0	0	3
61	16	0	1.525	0	0	0	0	0	5e-06	0	0	0	0	3
62	16	0	1.55	0	0	0	0	0	5e-06	0	0	0	0	3
63	16	0	1.575	0	0	0	0	0	5e-06	0	0	0	0	3
64	17	0	1.6	0	0	0	0	0	5e-06	0	0	0	0	3
65	17	0	1.625	0	0	0	0	0	5e-06	0	0	0	0	3
