Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	16196.9789	16196.9789	16196.9789	16196.9789	0	0	0	0	0	0	3
2	2	0	0.05	16051.1305	16124.0547	16051.1305	16196.9789	72.9241848	0	0	0	0	0	3
3	2	0	0.075	16046.2453	16098.1182	16046.2453	16196.9789	98.8606571	0	0	0	0	0	3
4	2	0	0.1	16045.9011	16085.0639	16045.9011	16196.9789	111.914941	0	0	0	0	0	3
5	3	0	0.125	16045.6639	16077.1839	16045.6639	16196.9789	119.794948	0	0	0	0	0	3
6	3	0	0.15	16044.2978	16071.7029	16044.2978	16196.9789	125.275976	0	0	0	0	0	3
7	3	0	0.175	16043.77	16067.7125	16043.77	16196.9789	129.266389	0	0	0	0	0	3
8	3	0	0.2	16043.3446	16064.6665	16043.3446	16196.9789	132.312373	0	0	0	0	0	3
9	4	0	0.225	16043.6536	16062.3317	16043.3446	16196.9789	134.647135	0	0	0	0	0	3
10	4	0	0.25	16043.424	16060.441	16043.3446	16196.9789	136.537907	0	0	0	0	0	3
11	4	0	0.275	16043.1834	16058.8721	16043.1834	16196.9789	138.106781	0	0	0	0	0	3
12	4	0	0.3	16043.009	16057.5502	16043.009	16196.9789	139.428702	0	0	0	0	0	3
13	4	0	0.325	16043.1389	16056.4416	16043.009	16196.9789	140.537264	0	0	0	0	0	3
14	5	0	0.35	16041.9223	16055.4045	16041.9223	16196.9789	141.574357	0	0	0	0	0	3
15	5	0	0.375	16042.1001	16054.5176	16041.9223	16196.9789	142.461316	0	0	0	0	0	3
16	5	0	0.4	16041.2398	16053.6877	16041.2398	16196.9789	143.291177	0	0	0	0	0	3
17	5	0	0.425	16040.9903	16052.9408	16040.9903	16196.9789	144.038083	0	0	0	0	0	3
18	6	0	0.45	16041.1159	16052.2839	16040.9903	16196.9789	144.695023	0	0	0	0	0	3
19	6	0	0.475	16041.4649	16051.7144	16040.9903	16196.9789	145.264444	0	0	0	0	0	3
20	6	0	0.5	16041.1018	16051.1838	16040.9903	16196.9789	145.795076	0	0	0	0	0	3
21	6	0	0.525	16041.0719	16043.3885	16040.9903	16051.1305	10.1402117	0	0	0	0	0	3
22	7	0	0.55	16041.2545	16042.8947	16040.9903	16046.2453	5.2549796	0	0	0	0	0	3
23	7	0	0.575	16040.4646	16042.6056	16040.4646	16045.9011	5.43652571	0	0	0	0	0	3
24	7	0	0.6	16040.3183	16042.3265	16040.3183	16045.6639	5.34557292	0	0	0	0	0	3
25	7	0	0.625	16041.126	16042.0996	16040.3183	16044.2978	3.9794329	0	0	0	0	0	3
26	7	0	0.65	16040.4602	16041.9077	16040.3183	16043.77	3.45167912	0	0	0	0	0	3
27	8	0	0.675	16040.4237	16041.7404	16040.3183	16043.6536	3.33531401	0	0	0	0	0	3
28	8	0	0.7	16041.1131	16041.6288	16040.3183	16043.6536	3.33531401	0	0	0	0	0	3
29	8	0	0.725	16040.5837	16041.4753	16040.3183	16043.424	3.10569228	0	0	0	0	0	3
30	8	0	0.75	16040.3618	16041.3222	16040.3183	16043.1834	2.86503127	0	0	0	0	0	3
31	9	0	0.775	16040.7758	16041.2018	16040.3183	16043.1389	2.82054159	0	0	0	0	0	3
32	9	0	0.8	16039.5731	16041.03	16039.5731	16043.1389	3.56573513	0	0	0	0	0	3
33	9	0	0.825	16039.6639	16040.8563	16039.5731	16042.1001	2.52700159	0	0	0	0	0	3
34	9	0	0.85	16040.0014	16040.7602	16039.5731	16042.1001	2.52700159	0	0	0	0	0	3
35	10	0	0.875	16039.4534	16040.6279	16039.4534	16041.4649	2.01142032	0	0	0	0	0	3
36	10	0	0.9	16039.5565	16040.5437	16039.4534	16041.4649	2.01142032	0	0	0	0	0	3
37	10	0	0.925	16040.6966	16040.5291	16039.4534	16041.4649	2.01142032	0	0	0	0	0	3
38	10	0	0.95	16040.2165	16040.4841	16039.4534	16041.4649	2.01142032	0	0	0	0	0	3
39	11	0	0.975	16040.0904	16040.4154	16039.4534	16041.2545	1.80102045	0	0	0	0	0	3
40	11	0	1	16040.0199	16040.3613	16039.4534	16041.2545	1.80102045	0.425522218	0	0	0	0	3
41	11	0	1.025	16039.8848	16040.3019	16039.4534	16041.2545	1.80102045	0.425522218	0	0	0	0	3
42	11	0	1.05	16039.9612	16040.2373	16039.4534	16041.126	1.67259715	0.425522218	0	0	0	0	3
43	11	0	1.075	16039.6269	16040.1954	16039.4534	16041.126	1.67259715	0.425522218	0	0	0	0	3
44	12	0	1.1	16040.6518	16040.2171	16039.4534	16041.126	1.67259715	0.425522218	0	0	0	0	3
45	12	0	1.125	16039.5098	16040.1786	16039.4534	16041.126	1.67259715	0.425522218	0	0	0	0	3
46	12	0	1.15	16040.0413	16040.127	16039.4534	16041.1131	1.65968372	0.425522218	0	0	0	0	3
47	12	0	1.175	16038.614	16040.039	16038.614	16041.1131	1.70135138	0.425522218	0	0	0	0	3
48	12	0	1.2	16039.1626	16039.979	16038.614	16041.1131	1.64982964	0.425522218	0	0	0	0	3
49	13	0	1.225	16038.1979	16039.8402	16038.1979	16040.7758	1.63515048	0.425522218	0	0	0	0	3
50	13	0	1.25	16039.7841	16039.8021	16038.1979	16040.7758	1.52011481	0.425522218	0	0	0	0	3
51	13	0	1.275	16039.2324	16039.7483	16038.1979	16040.7758	1.45352012	0.425522218	0	0	0	0	3
52	13	0	1.3	16040.2894	16039.7251	16038.1979	16040.6966	1.30488772	0.425522218	0	0	0	0	3
53	13	0	1.325	16039.1771	16039.7063	16038.1979	16040.6966	1.14999818	0.425522218	0	0	0	0	3
54	13	0	1.35	16039.9856	16039.7216	16038.1979	16040.6966	1.05395309	0.425522218	0	0	0	0	3
55	13	0	1.375	16038.846	16039.6666	16038.1979	16040.6966	0.961315588	0.425522218	0	0	0	0	3
56	14	0	1.4	16040.0165	16039.6934	16038.1979	16040.6966	0.877150239	0.425522218	0	0	0	0	3
